name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-222 b,Confirmed,,,,,,,0.282,0.125,0.125,3.936981,5e-06,5e-06,0.048,,,,,,,,,,2014,2021-02-05,,,,,,,2455002.65076,0.00063,0.00063,,,,,,,,,,0.57,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19113746+4656159 b, K00723.01, KIC 10002866 b, KOI-723 b, KOI-723.01, WISE J191137.46+465615.8  b",,Kepler-222,287.9061,46.937767,,,13.717,13.341,13.235,775.61,15.32,15.32,0.15,,,,,,0.87,0.38,0.38,,,,,5433.0,200.0,200.0,,,"2MASS J19113746+4656159, KIC 10002866, KOI-723, WISE J191137.46+465615.8"
Kepler-222 c,Confirmed,,,,,,,0.414,0.185,0.185,10.08881,1.1e-05,1.1e-05,0.091,,,,,,,,,,2014,2021-02-05,,,,,,,2455006.08263,0.00061,0.00061,,,,,,,,,,0.9,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19113746+4656159 c, K00723.03, KIC 10002866 c, KOI-723 c, KOI-723.03, WISE J191137.46+465615.8  c",,Kepler-222,287.9061,46.937767,,,13.717,13.341,13.235,775.61,15.32,15.32,0.15,,,,,,0.87,0.38,0.38,,,,,5433.0,200.0,200.0,,,"2MASS J19113746+4656159, KIC 10002866, KOI-723, WISE J191137.46+465615.8"
Kepler-222 d,Confirmed,,,,,,,0.329,0.145,0.145,28.081912,6.9e-05,6.9e-05,0.18,,,,,,,,,,2014,2021-02-05,,,,,,,2455027.91404,0.00129,0.00129,,,,,,,,,,0.44,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19113746+4656159 d, K00723.02, KIC 10002866 d, KOI-723 d, KOI-723.02, WISE J191137.46+465615.8  d",,Kepler-222,287.9061,46.937767,,,13.717,13.341,13.235,775.61,15.32,15.32,0.15,,,,,,0.87,0.38,0.38,,,,,5433.0,200.0,200.0,,,"2MASS J19113746+4656159, KIC 10002866, KOI-723, WISE J191137.46+465615.8"
Kepler-223 b,Confirmed,0.02328,0.00346,0.00409,,,,0.267,0.024,0.016,7.38449,0.00022,0.00022,0.073,,,0.078,0.017,0.015,90.0,1.8,,,2014,2021-02-05,,,,,,,2455701.5155,0.0046,0.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19531640+4716461 b, K00730.04, KIC 10227020 b, KOI-730 b, KOI-730.04, WISE J195316.39+471645.8  b",,Kepler-223,298.318356,47.279495,,,14.095,13.727,13.633,1960.49,120.21,120.21,-0.211,,,1.12,0.07,0.09,1.72,0.14,0.07,,,,,5829.0,200.0,200.0,,,"2MASS J19531640+4716461, KIC 10227020, KOI-730, WISE J195316.39+471645.8"
Kepler-223 c,Confirmed,0.01605,0.00346,0.00535,,,,0.307,0.027,0.018,9.84564,0.00051,0.00052,0.088,,,0.15,0.051,0.019,90.0,1.3,,,2014,2021-02-05,,,,,,,2455700.1459,0.0039,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19531640+4716461 c, K00730.02, KIC 10227020 c, KOI-730 c, KOI-730.02, WISE J195316.39+471645.8  c",,Kepler-223,298.318356,47.279495,,,14.095,13.727,13.633,1960.49,120.21,120.21,-0.211,,,1.12,0.07,0.09,1.72,0.14,0.07,,,,,5829.0,200.0,200.0,,,"2MASS J19531640+4716461, KIC 10227020, KOI-730, WISE J195316.39+471645.8"
Kepler-223 d,Confirmed,0.02517,0.00409,0.00472,,,,0.467,0.04,0.023,14.78869,0.00027,0.0003,0.116,,,0.037,0.017,0.018,87.94,0.26,0.32,,2014,2021-02-05,,,,,,,2455704.8504,0.0024,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19531640+4716461 d, K00730.01, KIC 10227020 d, KOI-730 d, KOI-730.01, WISE J195316.39+471645.8  d",,Kepler-223,298.318356,47.279495,,,14.095,13.727,13.633,1960.49,120.21,120.21,-0.211,,,1.12,0.07,0.09,1.72,0.14,0.07,,,,,5829.0,200.0,200.0,,,"2MASS J19531640+4716461, KIC 10227020, KOI-730, WISE J195316.39+471645.8"
Kepler-223 e,Confirmed,0.0151,0.00378,0.0044,,,,0.41,0.037,0.024,19.72567,0.00054,0.00055,0.14,,,0.051,0.019,0.019,88.0,0.21,0.27,,2014,2021-02-05,,,,,,,2455717.5237,0.0051,0.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19531640+4716461 e, K00730.03, KIC 10227020 e, KOI-730 e, KOI-730.03, WISE J195316.39+471645.8  e",,Kepler-223,298.318356,47.279495,,,14.095,13.727,13.633,1960.49,120.21,120.21,-0.211,,,1.12,0.07,0.09,1.72,0.14,0.07,,,,,5829.0,200.0,200.0,,,"2MASS J19531640+4716461, KIC 10227020, KOI-730, WISE J195316.39+471645.8"
Kepler-224 b,Confirmed,,,,,,,0.124,0.008,0.008,3.132924,1.4e-05,1.4e-05,0.038,,,,,,,,,,2014,2021-02-05,,,,,,,2454968.67544,0.0025,0.0025,,,,,,,,,,0.32,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19234422+4721273 b, K00733.03, KIC 10271806 b, KOI-733 b, KOI-733.03, WISE J192344.22+472127.2  b",,Kepler-224,290.934287,47.357601,,,14.212,13.722,13.703,799.75,18.98,18.98,-0.309,,,0.74,,,0.68,0.04,0.04,,,,,5018.0,100.0,100.0,,,"2MASS J19234422+4721273, KIC 10271806, KOI-733, WISE J192344.22+472127.2"
Kepler-224 c,Confirmed,,,,,,,0.278,0.023,0.023,5.925003,1e-05,1e-05,0.058,,,,,,,,,,2014,2021-02-05,,,,,,,2455002.71508,0.00098,0.00098,,,,,,,,,,0.85,0.3,0.3,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19234422+4721273 c, K00733.01, KIC 10271806 c, KOI-733 c, KOI-733.01, WISE J192344.22+472127.2  c",,Kepler-224,290.934287,47.357601,,,14.212,13.722,13.703,799.75,18.98,18.98,-0.309,,,0.74,,,0.68,0.04,0.04,,,,,5018.0,100.0,100.0,,,"2MASS J19234422+4721273, KIC 10271806, KOI-733, WISE J192344.22+472127.2"
Kepler-224 d,Confirmed,,,,,,,0.205,0.012,0.012,11.349393,3.4e-05,3.4e-05,0.089,,,,,,,,,,2014,2021-02-05,,,,,,,2454967.31602,0.00182,0.00182,,,,,,,,,,0.01,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19234422+4721273 d, K00733.02, KIC 10271806 d, KOI-733 d, KOI-733.02, WISE J192344.22+472127.2  d",,Kepler-224,290.934287,47.357601,,,14.212,13.722,13.703,799.75,18.98,18.98,-0.309,,,0.74,,,0.68,0.04,0.04,,,,,5018.0,100.0,100.0,,,"2MASS J19234422+4721273, KIC 10271806, KOI-733, WISE J192344.22+472127.2"
Kepler-224 e,Confirmed,,,,,,,0.176,0.013,0.013,18.643577,8.7e-05,8.7e-05,0.124,,,,,,,,,,2014,2021-02-05,,,,,,,2454974.62463,0.00283,0.00283,,,,,,,,,,0.62,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19234422+4721273 e, K00733.04, KIC 10271806 e, KOI-733 e, KOI-733.04, WISE J192344.22+472127.2  e",,Kepler-224,290.934287,47.357601,,,14.212,13.722,13.703,799.75,18.98,18.98,-0.309,,,0.74,,,0.68,0.04,0.04,,,,,5018.0,100.0,100.0,,,"2MASS J19234422+4721273, KIC 10271806, KOI-733, WISE J192344.22+472127.2"
Kepler-225 b,Confirmed,,,,,,,0.107,0.006,0.006,6.738975,4.1e-05,4.1e-05,0.056,,,,,,,,,,2014,2021-02-05,,,,,,,2454968.27658,0.0036,0.0036,,,,,,,,,,0.45,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19284655+4727255 b, K00736.02, KIC 10340423 b, KOI-736 b, KOI-736.02, WISE J192846.55+472725.5  b",,Kepler-225,292.193984,47.457096,,,14.032,13.341,13.253,569.99,12.72,12.72,-0.185,,,,,,0.48,0.02,0.02,M1 V,,,,3682.0,150.0,150.0,,,"2MASS J19284655+4727255, KIC 10340423, KOI-736, WISE J192846.55+472725.5"
Kepler-225 c,Confirmed,,,,,,,0.164,0.009,0.009,18.794234,7.6e-05,7.6e-05,0.111,,,,,,,,,,2014,2021-02-05,,,,,,,2455010.7935,0.00216,0.00216,,,,,,,,,,0.32,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19284655+4727255 c, K00736.01, KIC 10340423 c, KOI-736 c, KOI-736.01, WISE J192846.55+472725.5  c",,Kepler-225,292.193984,47.457096,,,14.032,13.341,13.253,569.99,12.72,12.72,-0.185,,,,,,0.48,0.02,0.02,M1 V,,,,3682.0,150.0,150.0,,,"2MASS J19284655+4727255, KIC 10340423, KOI-736, WISE J192846.55+472725.5"
Kepler-226 b,Confirmed,,,,,,,0.138,0.055,0.055,3.940997,2e-05,2e-05,0.047,,,,,,,,,,2014,2021-02-05,,,,,,,2454969.09337,0.00284,0.00284,,,,,,,,,,0.15,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19293027+4752515 b, K00749.02, KIC 10601284 b, KOI-749 b, KOI-749.02, WISE J192930.26+475251.5  b",,Kepler-226,292.376129,47.880989,,,14.114,13.724,13.633,1008.14,27.2,27.2,-0.145,,,0.86,,,0.8,0.32,0.32,,,,,5571.0,200.0,200.0,,,"2MASS J19293027+4752515, KIC 10601284, KOI-749, WISE J192930.26+475251.5"
Kepler-226 c,Confirmed,,,,,,,0.203,0.08,0.08,5.349555,1.4e-05,1.4e-05,0.058,,,,,,,,,,2014,2021-02-05,,,,,,,2455004.80599,0.00148,0.00148,,,,,,,,,,0.25,0.2,0.2,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19293027+4752515 c, K00749.01, KIC 10601284 c, KOI-749 c, KOI-749.01, WISE J192930.26+475251.5  c",,Kepler-226,292.376129,47.880989,,,14.114,13.724,13.633,1008.14,27.2,27.2,-0.145,,,0.86,,,0.8,0.32,0.32,,,,,5571.0,200.0,200.0,,,"2MASS J19293027+4752515, KIC 10601284, KOI-749, WISE J192930.26+475251.5"
Kepler-226 d,Confirmed,,,,,,,0.109,0.044,0.044,8.109044,9.4e-05,9.4e-05,0.076,,,,,,,,,,2014,2021-02-05,,,,,,,2454965.80333,0.00751,0.00751,,,,,,,,,,0.06,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19293027+4752515 d, K00749.03, KIC 10601284 d, KOI-749 d, KOI-749.03, WISE J192930.26+475251.5  d",,Kepler-226,292.376129,47.880989,,,14.114,13.724,13.633,1008.14,27.2,27.2,-0.145,,,0.86,,,0.8,0.32,0.32,,,,,5571.0,200.0,200.0,,,"2MASS J19293027+4752515, KIC 10601284, KOI-749, WISE J192930.26+475251.5"
Kepler-227 b,Confirmed,,,,,,,0.277,0.14,0.14,9.488015,3.9e-05,3.9e-05,0.09,,,,,,,,,,2014,2021-02-05,,,,,,,2455003.53899,0.0024,0.0024,,,,,,,,,,0.82,0.34,0.34,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19274421+4808299 b, K00752.01, KIC 10797460 b, KOI-752 b, KOI-752.01, WISE J192744.21+480830.0  b",,Kepler-227,291.934236,48.141651,,,14.082,13.751,13.648,1117.5,31.33,31.33,0.136,,,,,,1.09,0.55,0.55,,,,,5854.0,200.0,200.0,,,"2MASS J19274421+4808299, KIC 10797460, KOI-752, WISE J192744.21+480830.0"
Kepler-227 c,Confirmed,,,,,,,0.271,0.136,0.136,54.418694,0.00046,0.00046,0.29,,,,,,,,,,2014,2021-02-05,,,,,,,2454995.51038,0.00535,0.00535,,,,,,,,,,0.07,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19274421+4808299 c, K00752.02, KIC 10797460 c, KOI-752 c, KOI-752.02, WISE J192744.21+480830.0  c",,Kepler-227,291.934236,48.141651,,,14.082,13.751,13.648,1117.5,31.33,31.33,0.136,,,,,,1.09,0.55,0.55,,,,,5854.0,200.0,200.0,,,"2MASS J19274421+4808299, KIC 10797460, KOI-752, WISE J192744.21+480830.0"
Kepler-228 b,Confirmed,,,,,,,0.136,0.063,0.063,2.566546,2.6e-05,2.6e-05,0.038,,,,,,,,,,2014,2021-02-05,,,,,,,2455012.5536,0.0054,0.0054,,,,,,,,,,0.45,0.38,0.38,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19450867+4813288 b, K00756.03, KIC 10872983 b, KOI-756 b, KOI-756.03, WISE J194508.65+481328.6  b",,Kepler-228,296.286142,48.224667,,,14.528,14.113,14.132,1724.6,82.73,82.73,-0.067,,,,,,1.01,0.47,0.47,,,,,6043.0,200.0,200.0,,,"2MASS J19450867+4813288, KIC 10872983, KOI-756, WISE J194508.65+481328.6"
Kepler-228 c,Confirmed,,,,,,,0.241,0.111,0.111,4.134444,1.8e-05,1.8e-05,0.052,,,,,,,,,,2014,2021-02-05,,,,,,,2455005.97678,0.0023,0.0023,,,,,,,,,,0.15,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19450867+4813288 c, K00756.02, KIC 10872983 c, KOI-756 c, KOI-756.02, WISE J194508.65+481328.6  c",,Kepler-228,296.286142,48.224667,,,14.528,14.113,14.132,1724.6,82.73,82.73,-0.067,,,,,,1.01,0.47,0.47,,,,,6043.0,200.0,200.0,,,"2MASS J19450867+4813288, KIC 10872983, KOI-756, WISE J194508.65+481328.6"
Kepler-228 d,Confirmed,,,,,,,0.36,0.165,0.165,11.094286,3.6e-05,3.6e-05,0.101,,,,,,,,,,2014,2021-02-05,,,,,,,2455004.20123,0.00184,0.00184,,,,,,,,,,0.46,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19450867+4813288 d, K00756.01, KIC 10872983 d, KOI-756 d, KOI-756.01, WISE J194508.65+481328.6  d",,Kepler-228,296.286142,48.224667,,,14.528,14.113,14.132,1724.6,82.73,82.73,-0.067,,,,,,1.01,0.47,0.47,,,,,6043.0,200.0,200.0,,,"2MASS J19450867+4813288, KIC 10872983, KOI-756, WISE J194508.65+481328.6"
Kepler-229 b,Confirmed,,,,,,,0.196,0.07,0.07,6.252972,2.1e-05,2.1e-05,0.062,,,,,,,,,,2014,2021-02-05,,,,,,,2455004.29884,0.0018,0.0018,,,,,,,,,,0.11,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19075987+4822328 b, K00757.03, KIC 10910878 b, KOI-757 b, KOI-757.03, WISE J190759.88+482232.7  b",,Kepler-229,286.999471,48.375797,,,14.363,13.868,13.785,845.88,24.15,24.15,-0.109,,,,,,0.73,0.26,0.26,,,,,5120.0,200.0,200.0,,,"2MASS J19075987+4822328, KIC 10910878, KOI-757, WISE J190759.88+482232.7"
Kepler-229 c,Confirmed,,,,,,,0.439,0.155,0.155,16.068638,1.9e-05,1.9e-05,0.117,,,,,,,,,,2014,2021-02-05,,,,,,,2455006.62165,0.00062,0.00062,,,,,,,,,,0.0,0.17,0.17,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19075987+4822328 c, K00757.01, KIC 10910878 c, KOI-757 c, KOI-757.01, WISE J190759.88+482232.7  c",,Kepler-229,286.999471,48.375797,,,14.363,13.868,13.785,845.88,24.15,24.15,-0.109,,,,,,0.73,0.26,0.26,,,,,5120.0,200.0,200.0,,,"2MASS J19075987+4822328, KIC 10910878, KOI-757, WISE J190759.88+482232.7"
Kepler-229 d,Confirmed,,,,,,,0.343,0.123,0.123,41.194912,0.000248,0.000248,0.22,,,,,,,,,,2014,2021-02-05,,,,,,,2454998.02365,0.00316,0.00316,,,,,,,,,,0.8,0.28,0.28,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19075987+4822328 d, K00757.02, KIC 10910878 d, KOI-757 d, KOI-757.02, WISE J190759.88+482232.7  d",,Kepler-229,286.999471,48.375797,,,14.363,13.868,13.785,845.88,24.15,24.15,-0.109,,,,,,0.73,0.26,0.26,,,,,5120.0,200.0,200.0,,,"2MASS J19075987+4822328, KIC 10910878, KOI-757, WISE J190759.88+482232.7"
Kepler-22 b,Confirmed,0.0286,,,,,,0.187,0.0107,0.0107,289.863876,1.3e-05,1.3e-05,0.812,0.013,0.011,0.0,,,89.764,0.025,0.042,0.004468,2011,2024-07-29,,,,,,,2454966.6983,0.0023,0.0023,2454966.6983,0.0023,0.0023,,,,,,,0.768,0.078,0.132,,,,1.6,,,262.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"WISE J191652.14+475303.2  b, KOI-87 b, KOI-87.01, K00087.01, KIC 10593626 b, 2MASS J19165219+4753040 b",,Kepler-22,289.217484,47.884464,12.0,,10.523,10.211,,194.642,0.918,0.927,-0.255,0.065,0.065,0.857,0.043,0.051,0.869,0.011,0.011,G5V,7.0,4.2,4.0,5596.0,61.0,61.0,,,"KIC 10593626, WISE J191652.14+475303.2, KOI-87, 2MASS J19165219+4753040"
Kepler-230 b,Confirmed,,,,,,,0.38,0.194,0.194,32.625555,0.000126,0.000126,0.191,,,,,,,,,,2014,2021-02-05,,,,,,,2455027.13742,0.00198,0.00198,,,,,,,,,,0.91,0.01,0.01,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19025244+4830210 b, K00759.01, KIC 11018648 b, KOI-759 b, KOI-759.01, WISE J190252.45+483020.9  b",,Kepler-230,285.718538,48.505859,,,13.824,13.37,13.299,756.73,14.1,14.1,-0.291,,,,,,0.82,0.41,0.41,,,,,5588.0,200.0,200.0,,,"2MASS J19025244+4830210, KIC 11018648, KOI-759, WISE J190252.45+483020.9"
Kepler-230 c,Confirmed,,,,,,,0.182,0.093,0.093,91.773242,0.001618,0.001618,0.38,,,,,,,,,,2014,2021-02-05,,,,,,,2455026.83073,0.00941,0.00941,,,,,,,,,,0.03,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19025244+4830210 c, K00759.02, KIC 11018648 c, KOI-759 c, KOI-759.02, WISE J190252.45+483020.9  c",,Kepler-230,285.718538,48.505859,,,13.824,13.37,13.299,756.73,14.1,14.1,-0.291,,,,,,0.82,0.41,0.41,,,,,5588.0,200.0,200.0,,,"2MASS J19025244+4830210, KIC 11018648, KOI-759, WISE J190252.45+483020.9"
Kepler-231 b,Confirmed,,,,,,,0.154,0.011,0.011,10.065275,2.7e-05,2.7e-05,0.074,,,,,,,,,,2014,2021-02-05,,,,,,,2454969.28185,0.00148,0.00148,,,,,,,,,,0.82,0.05,0.05,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19355360+5031548 b, K00784.02, KIC 12066335 b, KOI-784 b, KOI-784.02, WISE J193553.61+503154.7  b",,Kepler-231,293.973353,50.531914,,,13.405,12.775,12.589,319.49,3.35,3.35,-0.011,,,0.58,,,0.49,0.02,0.02,M1 V,,,,3767.0,150.0,150.0,,,"2MASS J19355360+5031548, KIC 12066335, KOI-784, WISE J193553.61+503154.7"
Kepler-231 c,Confirmed,,,,,,,0.172,0.017,0.017,19.271566,9.9e-05,9.9e-05,0.114,,,,,,,,,,2014,2021-02-05,,,,,,,2455019.76907,0.00327,0.00327,,,,,,,,,,0.87,0.3,0.3,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19355360+5031548 c, K00784.01, KIC 12066335 c, KOI-784 c, KOI-784.01, WISE J193553.61+503154.7  c",,Kepler-231,293.973353,50.531914,,,13.405,12.775,12.589,319.49,3.35,3.35,-0.011,,,0.58,,,0.49,0.02,0.02,M1 V,,,,3767.0,150.0,150.0,,,"2MASS J19355360+5031548, KIC 12066335, KOI-784, WISE J193553.61+503154.7"
Kepler-232 b,Confirmed,,,,,,,0.275,0.131,0.131,4.431222,1.1e-05,1.1e-05,0.054,,,,,,,,,,2014,2021-02-05,,,,,,,2455004.01551,0.00139,0.00139,,,,,,,,,,0.35,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19431587+5107182 b, K00787.01, KIC 12366084 b, KOI-787 b, KOI-787.01, WISE J194315.87+510718.2 b",,Kepler-232,295.816158,51.121742,,,14.179,13.799,13.765,1402.96,50.18,50.18,0.083,,,,,,0.97,0.46,0.46,,,,,5847.0,200.0,200.0,,,"2MASS J19431587+5107182, KIC 12366084, KOI-787, WISE J194315.87+510718.2"
Kepler-232 c,Confirmed,,,,,,,0.342,0.166,0.166,11.379349,4.4e-05,4.4e-05,0.101,,,,,,,,,,2014,2021-02-05,,,,,,,2454966.85018,0.00219,0.00219,,,,,,,,,,0.92,0.27,0.27,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19431587+5107182 c, K00787.02, KIC 12366084 c, KOI-787 c, KOI-787.02, WISE J194315.87+510718.2 c",,Kepler-232,295.816158,51.121742,,,14.179,13.799,13.765,1402.96,50.18,50.18,0.083,,,,,,0.97,0.46,0.46,,,,,5847.0,200.0,200.0,,,"2MASS J19431587+5107182, KIC 12366084, KOI-787, WISE J194315.87+510718.2"
Kepler-233 b,Confirmed,,,,,,,0.217,0.059,0.059,8.472382,2.6e-05,2.6e-05,0.077,,,,,,,,,,2014,2021-02-05,,,,,,,2455007.16212,0.0016,0.0016,,,,,,,,,,0.08,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19452796+5119102 b, K00790.01, KIC 12470844 b, KOI-790 b, KOI-790.01, WISE J194527.95+511910.0  b",,Kepler-233,296.366522,51.319523,,,14.006,13.555,13.453,877.73,19.71,19.71,-0.067,,,,,,0.76,0.21,0.21,,,,,5360.0,200.0,200.0,,,"2MASS J19452796+5119102, KIC 12470844, KOI-790, WISE J194527.95+511910.0"
Kepler-233 c,Confirmed,,,,,,,0.242,0.07,0.07,60.418955,0.00063,0.00063,0.287,,,,,,,,,,2014,2021-02-05,,,,,,,2455014.16152,0.00573,0.00573,,,,,,,,,,0.86,0.32,0.32,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19452796+5119102 c, K00790.02, KIC 12470844 c, KOI-790 c, KOI-790.02, WISE J194527.95+511910.0  c",,Kepler-233,296.366522,51.319523,,,14.006,13.555,13.453,877.73,19.71,19.71,-0.067,,,,,,0.76,0.21,0.21,,,,,5360.0,200.0,200.0,,,"2MASS J19452796+5119102, KIC 12470844, KOI-790, WISE J194527.95+511910.0"
Kepler-234 b,Confirmed,,,,,,,0.33,0.148,0.148,2.711506,6e-06,6e-06,0.04,,,,,,,,,,2014,2021-02-05,,,,,,,2455003.03513,0.0013,0.0013,,,,,,,,,,0.85,0.29,0.29,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19263684+3829407 b, K00800.01, KIC 3342970 b, KOI-800 b, KOI-800.01, WISE J192636.84+382940.7  b",,Kepler-234,291.653519,38.494659,,,14.387,14.104,14.065,1821.01,96.9,96.9,0.075,,,,,,1.11,0.49,0.49,,,,,6224.0,200.0,200.0,,,"2MASS J19263684+3829407, KIC 3342970, KOI-800, WISE J192636.84+382940.7"
Kepler-234 c,Confirmed,,,,,,,0.313,0.139,0.139,7.21205,2.2e-05,2.2e-05,0.077,,,,,,,,,,2014,2021-02-05,,,,,,,2455005.81664,0.00178,0.00178,,,,,,,,,,0.16,0.2,0.2,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19263684+3829407 c, K00800.02, KIC 3342970 c, KOI-800 c, KOI-800.02, WISE J192636.84+382940.7  c",,Kepler-234,291.653519,38.494659,,,14.387,14.104,14.065,1821.01,96.9,96.9,0.075,,,,,,1.11,0.49,0.49,,,,,6224.0,200.0,200.0,,,"2MASS J19263684+3829407, KIC 3342970, KOI-800, WISE J192636.84+382940.7"
Kepler-235 b,Confirmed,,,,,,,0.199,0.009,0.009,3.340222,5e-06,5e-06,0.037,,,,,,,,,,2014,2021-02-05,,,,,,,2455004.97787,0.00084,0.00084,,,,,,,,,,0.37,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19041898+3916419 b, K00812.01, KIC 4139816 b, KOI-812 b, KOI-812.01, WISE J190418.97+391641.8  b",,Kepler-235,286.079103,39.278313,,,13.952,13.278,13.116,433.24,6.7,6.7,0.087,,,0.59,,,0.55,0.02,0.02,M0 V,,,,4255.0,100.0,100.0,,,"2MASS J19041898+3916419, KIC 4139816, KOI-812, WISE J190418.97+391641.8"
Kepler-235 c,Confirmed,,,,,,,0.114,0.007,0.007,7.824904,5.5e-05,5.5e-05,0.065,,,,,,,,,,2014,2021-02-05,,,,,,,2454969.55567,0.00455,0.00455,,,,,,,,,,0.24,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19041898+3916419 c, K00812.04, KIC 4139816 c, KOI-812 c, KOI-812.04, WISE J190418.97+391641.8  c",,Kepler-235,286.079103,39.278313,,,13.952,13.278,13.116,433.24,6.7,6.7,0.087,,,0.59,,,0.55,0.02,0.02,M0 V,,,,4255.0,100.0,100.0,,,"2MASS J19041898+3916419, KIC 4139816, KOI-812, WISE J190418.97+391641.8"
Kepler-235 d,Confirmed,,,,,,,0.183,0.009,0.009,20.060548,9.9e-05,9.9e-05,0.122,,,,,,,,,,2014,2021-02-05,,,,,,,2454980.46149,0.00276,0.00276,,,,,,,,,,0.11,0.2,0.2,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19041898+3916419 d, K00812.02, KIC 4139816 d, KOI-812 d, KOI-812.02, WISE J190418.97+391641.8  d",,Kepler-235,286.079103,39.278313,,,13.952,13.278,13.116,433.24,6.7,6.7,0.087,,,0.59,,,0.55,0.02,0.02,M0 V,,,,4255.0,100.0,100.0,,,"2MASS J19041898+3916419, KIC 4139816, KOI-812, WISE J190418.97+391641.8"
